FUNCTION                                             CALLS        %  TIME  [uS / CALLS]
--------                                             -----  -------  ----  [----------]
'Elixir.Inspect.Atom':inspect/2                          1     0.00     0  [      0.00]
'Elixir.Inspect.Atom':'valid_atom_piece?'/1              1     0.00     0  [      0.00]
'Elixir.Keyword':get/2                                   1     0.00     0  [      0.00]
elixir_translator:translate_arg/3                        1     0.00     0  [      0.00]
error_handler:undefined_function/3                       1     0.00     0  [      0.00]
error_handler:crash/3                                    1     0.00     0  [      0.00]
error_handler:crash/1                                    1     0.00     0  [      0.00]
error_handler:call_undefined_function_handler/3          1     0.00     0  [      0.00]
'Elixir.Inspect.Algebra':color/3                         1     0.00     0  [      0.00]
'Elixir.Inspect.Algebra':empty/0                         1     0.00     0  [      0.00]
code:ensure_loaded/1                                     1     0.00     0  [      0.00]
'Elixir.List.Chars.List':to_charlist/1                   2     0.00     0  [      0.00]
elixir_parser:yeccpars2_cont_2/7                         1     0.00     0  [      0.00]
elixir_parser:yeccpars2_5/7                              2     0.00     0  [      0.00]
elixir_parser:yeccpars2_10/7                             1     0.00     0  [      0.00]
elixir_parser:yeccpars2_23/7                             2     0.00     0  [      0.00]
elixir_parser:yeccpars2_48/7                             1     0.00     0  [      0.00]
elixir_parser:yeccpars2_317/7                            1     0.00     0  [      0.00]
elixir_parser:yeccpars2_324/7                            1     0.00     0  [      0.00]
elixir_parser:yeccpars2_350/7                            1     0.00     0  [      0.00]
elixir_parser:yeccpars2_357/7                            1     0.00     0  [      0.00]
elixir_parser:yeccpars2_358/7                            1     0.00     0  [      0.00]
elixir_parser:yeccpars2_359/7                            1     0.00     0  [      0.00]
elixir_parser:yeccgoto_call_args_parens_base/7           1     0.00     0  [      0.00]
elixir_parser:yeccgoto_call_args_parens_expr/7           1     0.00     0  [      0.00]
elixir_parser:yeccgoto_close_paren/7                     1     0.00     0  [      0.00]
elixir_parser:yeccgoto_empty_paren/7                     1     0.00     0  [      0.00]
elixir_tokenizer:tokenize_atom/2                         1     0.00     0  [      0.00]
'Elixir.IO.ANSI':format_fragment/2                       2     0.00     0  [      0.00]
gen_server:call/3                                        1     0.00     0  [      0.00]
'Elixir.GenServer':call/2                                1     0.00     0  [      0.00]
'Elixir.GenServer':call/3                                1     0.00     0  [      0.00]
io:o_request/3                                           2     0.06     1  [      0.50]
io:columns/1                                             2     0.06     1  [      0.50]
erl_scan:location/1                                      2     0.06     1  [      0.50]
gen:do_call/4                                            2     0.06     1  [      0.50]
gen:do_for_proc/2                                        2     0.06     1  [      0.50]
gen:'-call/4-fun-0-'/4                                   2     0.06     1  [      0.50]
'Elixir.Inspect.Atom':color_key/1                        1     0.06     1  [      1.00]
'Elixir.Inspect.Atom':'valid_atom_identifier?'/1         1     0.06     1  [      1.00]
'Elixir.Inspect.Atom':'valid_ref_identifier?'/1          1     0.06     1  [      1.00]
elixir_dispatch:deprecation/3                            2     0.06     1  [      0.50]
'Elixir.Inspect.PID':inspect/2                           1     0.06     1  [      1.00]
lists:map/2                                              2     0.06     1  [      0.50]
lists:rumergel/3                                         2     0.06     1  [      0.50]
maps:fold/3                                              2     0.06     1  [      0.50]
elixir_translator:'-translate_args/2-fun-1-'/3           1     0.06     1  [      1.00]
error_handler:ensure_loaded/1                            1     0.06     1  [      1.00]
'Elixir.Inspect.Algebra':ansi/1                          2     0.06     1  [      0.50]
'Elixir.Inspect.Algebra':concat/2                        1     0.06     1  [      1.00]
elixir_exp:expand_arg/2                                  2     0.06     1  [      0.50]
elixir_scope:merge_vars/2                                2     0.06     1  [      0.50]
elixir_scope:merge_opt_vars/2                            2     0.06     1  [      0.50]
dict:store_bkt_val/3                                     2     0.06     1  [      0.50]
dict:maybe_expand/2                                      2     0.06     1  [      0.50]
elixir_parser:build_dot_alias/3                          1     0.06     1  [      1.00]
elixir_parser:yecctoken_location/1                       2     0.06     1  [      0.50]
elixir_parser:yeccpars2_21/7                             2     0.06     1  [      0.50]
elixir_parser:yeccpars2_24/7                             2     0.06     1  [      0.50]
elixir_parser:yeccpars2_27/7                             2     0.06     1  [      0.50]
elixir_parser:yeccpars2_42/7                             2     0.06     1  [      0.50]
elixir_parser:yeccpars2_46/7                             1     0.06     1  [      1.00]
elixir_parser:yeccpars2_57/7                             2     0.06     1  [      0.50]
elixir_parser:yeccpars2_63/7                             1     0.06     1  [      1.00]
elixir_parser:yeccpars2_182/7                            1     0.06     1  [      1.00]
elixir_parser:yeccpars2_349/7                            2     0.06     1  [      0.50]
elixir_parser:yeccpars2_355/7                            1     0.06     1  [      1.00]
elixir_parser:yeccpars2_559/7                            2     0.06     1  [      0.50]
elixir_parser:yeccgoto_dot_paren_identifier/7            2     0.06     1  [      0.50]
elixir_parser:yeccgoto_expr/7                            2     0.06     1  [      0.50]
elixir_parser:yeccgoto_expr_list/7                       2     0.06     1  [      0.50]
elixir_parser:yeccgoto_grammar/7                         2     0.06     1  [      0.50]
elixir_parser:yeccgoto_number_or_char/7                  1     0.06     1  [      1.00]
elixir_parser:yeccgoto_open_paren/7                      2     0.06     1  [      0.50]
elixir_parser:yeccgoto_parens_call/7                     2     0.06     1  [      0.50]
elixir_tokenizer:tokenize_atom/3                         6     0.06     1  [      0.17]
elixir_lexical:if_tracker/2                              3     0.06     1  [      0.33]
'Elixir.IO.ANSI':cyan/0                                  1     0.06     1  [      1.00]
'Elixir.IO.ANSI':reset/0                                 3     0.06     1  [      0.33]
'Elixir.IEx.Config':inspect_opts/0                       2     0.06     1  [      0.50]
'Elixir.IEx.Config':update_syntax_colors/1               2     0.06     1  [      0.50]
'Elixir.IEx.Config':width/0                              2     0.06     1  [      0.50]
'Elixir.IEx.Config':'-inspect_opts/0-fun-0-'/0           2     0.06     1  [      0.50]
elixir_env:mergea/2                                      2     0.06     1  [      0.50]
erl_lint:return_status/1                                 2     0.06     1  [      0.50]
erl_lint:expr_list/3                                     2     0.06     1  [      0.50]
erl_lint:vtmerge_pat/2                                   1     0.06     1  [      1.00]
erl_lint:format_function/5                               2     0.06     1  [      0.50]
erl_lint:is_format_function/2                            2     0.06     1  [      0.50]
erl_lint:'-expr_list/3-fun-0-'/3                         1     0.06     1  [      1.00]
erl_lint:'-pack_warnings/1-lc$^1/1-0-'/2                 4     0.06     1  [      0.25]
elixir_aliases:expand/3                                  1     0.06     1  [      1.00]
elixir_aliases:lookup/3                                  1     0.06     1  [      1.00]
'Elixir.Process':whereis/1                               1     0.06     1  [      1.00]
'Elixir.Inspect.Opts':'__struct__'/0                     2     0.06     1  [      0.50]
erl_anno:new_location/1                                  2     0.06     1  [      0.50]
erl_anno:end_location/1                                  2     0.06     1  [      0.50]
erl_anno:location/1                                      2     0.06     1  [      0.50]
