FUNCTION                                                                               CALLS        %     TIME  [uS / CALLS]
--------                                                                               -----  -------     ----  [----------]
io:o_request/3                                                                             1     0.00        0  [      0.00]
io:put_chars/2                                                                             1     0.00        0  [      0.00]
'Elixir.Application':get_env/3                                                             1     0.00        0  [      0.00]
application:get_env/2                                                                      1     0.00        0  [      0.00]
application:get_env/3                                                                      1     0.00        0  [      0.00]
'Elixir.Enumerable':reduce/3                                                               2     0.00        0  [      0.00]
lists:foldl/3                                                                              1     0.00        0  [      0.00]
maps:fold/3                                                                                1     0.00        0  [      0.00]
error_handler:undefined_function/3                                                         2     0.00        0  [      0.00]
'Elixir.Inspect.Algebra':do_surround_many/7                                                1     0.00        0  [      0.00]
'Elixir.Enumerable.Function':reduce/3                                                      1     0.00        0  [      0.00]
'Elixir.System':schedulers_online/0                                                        1     0.00        0  [      0.00]
'Elixir.Task':async_stream/3                                                               1     0.00        0  [      0.00]
'Elixir.Task':build_stream/3                                                               1     0.00        0  [      0.00]
'Elixir.Task':'-build_stream/3-fun-1-'/5                                                   1     0.00        0  [      0.00]
filename:join/1                                                                            1     0.00        0  [      0.00]
filename:split/1                                                                           1     0.00        0  [      0.00]
filename:unix_split/1                                                                      1     0.00        0  [      0.00]
filename:split/3                                                                           1     0.00        0  [      0.00]
filename:flatten/1                                                                         1     0.00        0  [      0.00]
'Elixir.Path.Wildcard':list_dir/1                                                          1     0.00        0  [      0.00]
'Elixir.Inspect.Map':inspect/2                                                             1     0.00        0  [      0.00]
'Elixir.Path':chardata_to_list/1                                                           1     0.00        0  [      0.00]
'Elixir.Path':wildcard/2                                                                   1     0.00        0  [      0.00]
unicode:characters_to_list/1                                                               1     0.00        0  [      0.00]
'Elixir.Task.Supervised':stream/6                                                          1     0.00        0  [      0.00]
'Elixir.Task.Supervised':stream_cleanup_inbox/1                                            1     0.00        0  [      0.00]
'Elixir.Task.Supervised':stream_close/3                                                    1     0.00        0  [      0.00]
'Elixir.Task.Supervised':stream_monitor/4                                                  1     0.00        0  [      0.00]
'Elixir.Task.Supervised':'-stream/6-fun-2-'/4                                              1     0.00        0  [      0.00]
'Elixir.Inspect.Opts':'__struct__'/0                                                       1     0.00        0  [      0.00]
filelib:do_wildcard_1/2                                                                    1     0.00        0  [      0.00]
filelib:will_always_match/1                                                                1     0.00        0  [      0.00]
filelib:do_list_dir/2                                                                      1     0.00        0  [      0.00]
filelib:compile_wildcard/2                                                                 1     0.00        0  [      0.00]
filelib:compile_wildcard_2/2                                                               3     0.00        0  [      0.00]
filelib:compile_wildcard_3/2                                                               1     0.00        0  [      0.00]
filelib:eval_list_dir/2                                                                    1     0.00        0  [      0.00]
'Elixir.GamePersistence.Implementations.FileSystem':list_user_ids/0                        1     0.00        0  [      0.00]
erlang:spawn_opt/2                                                                         1     0.00        0  [      0.00]
erlang:spawn_opt/4                                                                         1     0.00        0  [      0.00]
gen_server:handle_common_reply/6                                                           1     0.00        0  [      0.00]
application_controller:get_env/2                                                           1     0.00        0  [      0.00]
erlang:group_leader/0                                                                      1     0.00        0  [      0.00]
erlang:exit/1                                                                              1     0.00        0  [      0.00]
io:request/2                                                                               2     0.00        1  [      0.50]
io:execute_request/2                                                                       1     0.00        1  [      1.00]
'Elixir.Enumerable':impl_for/1                                                             2     0.00        1  [      0.50]
'Elixir.Keyword':fetch/2                                                                   1     0.00        1  [      1.00]
code_server:call/1                                                                         2     0.00        1  [      0.50]
'Elixir.Inspect.Algebra':default_mode/1                                                    1     0.00        1  [      1.00]
'Elixir.Inspect.Algebra':surround_many/6                                                   1     0.00        1  [      1.00]
'Elixir.IO':inspect/2                                                                      1     0.00        1  [      1.00]
'Elixir.IO':puts/2                                                                         1     0.00        1  [      1.00]
'Elixir.Task':async_stream/2                                                               1     0.00        1  [      1.00]
filename:maybe_remove_dirsep/2                                                             5     0.00        1  [      0.20]
filename:unix_pathtype/1                                                                   5     0.00        1  [      0.20]
'Elixir.GamePersistence.Persistence':list_user_ids/0                                       1     0.00        1  [      1.00]
'Elixir.GamePersistence.Persistence':persistence_impl/0                                    1     0.00        1  [      1.00]
code:ensure_loaded/1                                                                       2     0.00        1  [      0.50]
code:call/1                                                                                2     0.00        1  [      0.50]
'Elixir.Inspect.Map':inspect/3                                                             1     0.00        1  [      1.00]
'Elixir.Inspect.Map':traverse_fun/1                                                        1     0.00        1  [      1.00]
'Elixir.Path':wildcard/1                                                                   1     0.00        1  [      1.00]
'Elixir.Task.Supervised':stream_cleanup_inbox/2                                            1     0.00        1  [      1.00]
'Elixir.Task.Supervised':'-stream/6-fun-1-'/2                                              1     0.00        1  [      1.00]
filelib:do_wildcard/3                                                                      1     0.00        1  [      1.00]
filelib:do_wildcard_4/3                                                                    1     0.00        1  [      1.00]
filelib:compile_join/2                                                                     2     0.00        1  [      0.50]
filelib:compile_part/1                                                                     3     0.00        1  [      0.33]
'Elixir.Inspect.List':'keyword?'/1                                                         1     0.00        1  [      1.00]
gen_server:try_dispatch/3                                                                  1     0.00        1  [      1.00]
gen_server:try_dispatch/4                                                                  1     0.00        1  [      1.00]
unicode:characters_to_list/2                                                               1     0.00        1  [      1.00]
erlang:process_flag/2                                                                      2     0.00        1  [      0.50]
io:io_request/2                                                                            1     0.00        2  [      2.00]
gen:call/3                                                                                 1     0.00        2  [      2.00]
filename:join/2                                                                            4     0.00        2  [      0.50]
filename:pathtype/1                                                                        5     0.00        2  [      0.40]
filename:major_os_type/0                                                                   5     0.00        2  [      0.40]
'Elixir.Process':flag/2                                                                    2     0.00        2  [      1.00]
filelib:wildcard/2                                                                         1     0.00        2  [      2.00]
filelib:prepare_base/1                                                                     2     0.00        2  [      1.00]
filelib:compile_part/3                                                                    16     0.00        2  [      0.13]
'Elixir.String.Chars.Integer':to_string/1                                                 11     0.00        2  [      0.18]
'Elixir.Enum':reduce/3                                                                     2     0.00        2  [      1.00]
'Elixir.Game.PlayerServerPool':handle_info/2                                               1     0.00        2  [      2.00]
proc_lib:init_ack/2                                                                        1     0.00        2  [      2.00]
erlang:integer_to_binary/1                                                                11     0.00        2  [      0.18]
erlang:make_fun/3                                                                          1     0.00        2  [      2.00]
ets:lookup/2                                                                               1     0.00        2  [      2.00]
'Elixir.Enumerable':'impl_for!'/1                                                          2     0.00        3  [      1.50]
lists:sort/1                                                                               1     0.00        3  [      3.00]
error_handler:ensure_loaded/1                                                              2     0.00        3  [      1.50]
'Elixir.Inspect.Algebra':group/1                                                           1     0.00        3  [      3.00]
'Elixir.IO':inspect/3                                                                      1     0.00        3  [      3.00]
'Elixir.Kernel':struct/2                                                                   1     0.00        3  [      3.00]
'Elixir.Kernel':struct/3                                                                   1     0.00        3  [      3.00]
filename:split/4                                                                          17     0.00        3  [      0.18]
'Elixir.Enum':map/2                                                                        3     0.00        3  [      1.00]
'Elixir.String.Chars':impl_for/1                                                          11     0.00        3  [      0.27]
gen_server:decode_msg/8                                                                   12     0.00        3  [      0.25]
gen_server:handle_msg/5                                                                   12     0.00        3  [      0.25]
maps:find/2                                                                               11     0.00        3  [      0.27]
erlang:function_exported/3                                                                 2     0.00        3  [      1.50]
'Elixir.IO':inspect/1                                                                      1     0.00        4  [      4.00]
'Elixir.Process':get/2                                                                    13     0.00        4  [      0.31]
'Elixir.Enum':into/2                                                                       1     0.00        4  [      4.00]
'Elixir.Game.PlayerServerPool':handle_call/3                                              11     0.00        4  [      0.36]
'Elixir.String.Chars':'impl_for!'/1                                                       11     0.00        4  [      0.36]
gen_server:call/2                                                                          1     0.00        4  [      4.00]
'Elixir.Access':get/3                                                                     12     0.00        5  [      0.42]
'Elixir.Inspect.Algebra':format/2                                                          1     0.00        5  [      5.00]
'Elixir.Inspect.Algebra':surround/3                                                        1     0.00        5  [      5.00]
gen_server:loop/6                                                                         13     0.00        5  [      0.38]
erlang:spawn_opt/1                                                                         1     0.00        5  [      5.00]
'Elixir.Access':get/2                                                                     12     0.00        6  [      0.50]
lists:reverse/1                                                                           19     0.00        6  [      0.32]
'Elixir.Inspect.Algebra':nest/2                                                            2     0.00        6  [      3.00]
'Elixir.Process':get/1                                                                    13     0.00        6  [      0.46]
gen_server:reply/2                                                                        11     0.00        6  [      0.55]
